
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:61611        127.0.0.1:51532        TIME_WAIT       0
  TCP    127.0.0.1:61611        127.0.0.1:62279        TIME_WAIT       0
  TCP    127.0.0.1:61611        127.0.0.1:62281        TIME_WAIT       0
  TCP    127.0.0.1:61616        0.0.0.0:0              LISTENING       17016
  TCP    127.0.0.1:61616        127.0.0.1:61619        ESTABLISHED     17016
  TCP    127.0.0.1:61618        127.0.0.1:61606        ESTABLISHED     17016
  TCP    127.0.0.1:61619        127.0.0.1:61616        ESTABLISHED     20816
  TCP    127.0.0.1:61620        127.0.0.1:61610        ESTABLISHED     20816
  TCP    127.0.0.1:62280        127.0.0.1:58642        TIME_WAIT       0
  TCP    127.0.0.1:63444        127.0.0.1:5432         ESTABLISHED     1332
  TCP    127.0.0.1:63459        127.0.0.1:63460        ESTABLISHED     12616
  TCP    127.0.0.1:63460        127.0.0.1:63459        ESTABLISHED     12616
  TCP    127.0.0.1:63479        127.0.0.1:5432         ESTABLISHED     1332
  TCP    127.0.0.1:64051        127.0.0.1:5432         ESTABLISHED     1332
  TCP    192.168.1.34:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.1.34:8082      192.168.1.227:38484    TIME_WAIT       0
  TCP    192.168.1.34:50504     54.237.143.252:443     CLOSE_WAIT      1332
  TCP    192.168.1.34:51525     52.168.117.175:443     ESTABLISHED     11832
  TCP    192.168.1.34:51533     34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.1.34:51534     34.54.84.110:443       ESTABLISHED     17016
  TCP    192.168.1.34:55662     198.41.30.198:443      CLOSE_WAIT      11964
  TCP    192.168.1.34:57680     140.82.114.21:443      ESTABLISHED     11832
  TCP    192.168.1.34:59464     34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.1.34:62282     34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.1.34:62284     34.54.84.110:443       TIME_WAIT       0
  TCP    192.168.1.34:62480     40.126.16.166:443      TIME_WAIT       0
  TCP    192.168.1.34:63862     52.175.140.176:443     ESTABLISHED     11832
  TCP    192.168.1.34:64034     52.182.143.210:443     ESTABLISHED     9740
  TCP    [::]:135               [::]:0                 LISTENING       1320
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:1433              [::]:0                 LISTENING       14980
  TCP    [::]:5173              [::]:0                 LISTENING       1384
  TCP    [::]:5432              [::]:0                 LISTENING       6140
  TCP    [::]:7680              [::]:0                 LISTENING       8648
  TCP    [::]:8080              [::]:0                 LISTENING       1332
  TCP    [::]:8081              [::]:0                 LISTENING       28540
  TCP    [::]:8082              [::]:0                 LISTENING       16944
  TCP    [::]:49664             [::]:0                 LISTENING       876
  TCP    [::]:49665             [::]:0                 LISTENING       952
  TCP    [::]:49666             [::]:0                 LISTENING       772
  TCP    [::]:49667             [::]:0                 LISTENING       2376
  TCP    [::]:49668             [::]:0                 LISTENING       3756
  TCP    [::]:49670             [::]:0                 LISTENING       516
  TCP    [::]:50149             [::]:0                 LISTENING       14980
  TCP    [::]:58636             [::]:0                 LISTENING       1332
  TCP    [::]:58642             [::]:0                 LISTENING       1332
  TCP    [::]:58644             [::]:0                 LISTENING       1332
  TCP    [::]:63996             [::]:0                 LISTENING       24448
  TCP    [::1]:5173             [::1]:60288            ESTABLISHED     1384
  TCP    [::1]:5173             [::1]:64970            ESTABLISHED     1384
  TCP    [::1]:7679             [::]:0                 LISTENING       12616
  TCP    [::1]:42050            [::]:0                 LISTENING       19084
  TCP    [::1]:49669            [::]:0                 LISTENING       4472
  TCP    [::1]:60288            [::1]:5173             ESTABLISHED     17412
  TCP    [::1]:60393            [::]:0                 LISTENING       14980
  TCP    [::1]:64970            [::1]:5173             ESTABLISHED     17412
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:49298  [2001:4860:4802:34::223]:443  CLOSE_WAIT      12616
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:49315  [2603:1063:2001:e00::365:ff1]:443  ESTABLISHED     1520
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:49316  [2603:1046:c01:2006::2]:443  ESTABLISHED     1520
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:49318  [2603:1046:c01:2006::2]:443  ESTABLISHED     1520
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:49834  [2606:4700::6810:6770]:443  ESTABLISHED     17412
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:50335  [2603:1040:a06:6::1]:443  ESTABLISHED     5028
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:50428  [2001:df0:13:1::134]:443  ESTABLISHED     7996
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:53823  [2606:4700::6810:6670]:443  ESTABLISHED     17412
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:53826  [2001:4860:4802:32::223]:443  TIME_WAIT       0
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:53827  [2001:4860:4802:32::223]:443  TIME_WAIT       0
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:53828  [2001:4860:4802:32::223]:443  TIME_WAIT       0
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:55752  [2001:4860:4802:32::223]:443  ESTABLISHED     17016
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:55753  [2001:4860:4802:32::223]:443  ESTABLISHED     17016
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:57234  [2001:4860:4802:34::223]:443  ESTABLISHED     17016
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:57367  [2603:1046:c01:248b::2]:443  ESTABLISHED     7020
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:58034  [2402:800:6353:1::7dea:3330]:443  ESTABLISHED     21744
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:58749  [2603:1040:a06:6::1]:443  ESTABLISHED     24980
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:59463  [2001:4860:4802:32::223]:443  ESTABLISHED     17016
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:59488  [2603:1046:c01:2488::2]:443  ESTABLISHED     7020
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:60808  [2001:4860:4802:34::223]:443  CLOSE_WAIT      12616
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:62276  [2603:1061:14:167::1]:443  TIME_WAIT       0
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:62278  [2404:6800:4003:c03::5e]:80  TIME_WAIT       0
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:62283  [2001:df0:13:7::15]:443  ESTABLISHED     7996
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:62478  [2402:800:6353:1::7dea:3331]:443  ESTABLISHED     24436
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:62479  [2603:1046:c01:248a::2]:443  TIME_WAIT       0
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:63461  [2001:4860:4802:34::223]:443  ESTABLISHED     12616
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:64857  [2606:4700::6810:6670]:443  ESTABLISHED     17412
  TCP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:65369  [2404:6800:4003:c05::bc]:5228  ESTABLISHED     17412
  UDP    0.0.0.0:123            *:*                                    7120
  UDP    0.0.0.0:5050           *:*                                    9792
  UDP    0.0.0.0:5353           *:*                                    2272
  UDP    0.0.0.0:5353           *:*                                    21876
  UDP    0.0.0.0:5353           *:*                                    21876
  UDP    0.0.0.0:5355           *:*                                    2272
  UDP    0.0.0.0:55090          *:*                                    2272
  UDP    0.0.0.0:65286          *:*                                    2272
  UDP    127.0.0.1:1900         *:*                                    7512
  UDP    127.0.0.1:49664        127.0.0.1:49664                        4416
  UDP    127.0.0.1:56630        *:*                                    7512
  UDP    192.168.1.34:137       *:*                                    4
  UDP    192.168.1.34:138       *:*                                    4
  UDP    192.168.1.34:1900      *:*                                    7512
  UDP    192.168.1.34:2177      *:*                                    11504
  UDP    192.168.1.34:56629     *:*                                    7512
  UDP    [::]:123               *:*                                    7120
  UDP    [::]:5353              *:*                                    2272
  UDP    [::]:5353              *:*                                    21876
  UDP    [::]:5355              *:*                                    2272
  UDP    [::]:55090             *:*                                    2272
  UDP    [::]:65286             *:*                                    2272
  UDP    [::1]:1900             *:*                                    7512
  UDP    [::1]:56628            *:*                                    7512
  UDP    [2402:800:6343:fd2d:443b:abcc:a5e1:db12]:2177  *:*                                    11504
  UDP    [2402:800:6343:fd2d:d707:4294:9788:9d27]:2177  *:*                                    11504
  UDP    [fe80::c91:3bdb:1a24:ca16%7]:1900  *:*                                    7512
  UDP    [fe80::c91:3bdb:1a24:ca16%7]:2177  *:*                                    11504
  UDP    [fe80::c91:3bdb:1a24:ca16%7]:56627  *:*                                    7512
