
Image Name                     PID Session Name        Session#    Mem Usage
GameInputSvc.exe             16828 Services                   0      1,000 K
svchost.exe                  17128 Services                   0      1,100 K
svchost.exe                  17752 Services                   0      1,952 K
svchost.exe                  11504 Services                   0      1,592 K
svchost.exe                  19776 Services                   0      1,296 K
svchost.exe                  16192 Services                   0      1,432 K
WmiApSrv.exe                 24996 Services                   0      2,120 K
csrss.exe                    23652 Console                    7      3,624 K
winlogon.exe                 16024 Console                    7      2,356 K
dwm.exe                      24080 Console                    7     62,956 K
fontdrvhost.exe              13404 Console                    7      1,608 K
GameInputSvc.exe             24596 Console                    7      3,736 K
GameInputRedistService.ex     6132 Console                    7      2,796 K
ETDCtrl.exe                  11700 Console                    7      2,832 K
SECOCL64.exe                 27596 Console                    7      1,776 K
sihost.exe                    6744 Console                    7     19,064 K
conhost.exe                  18096 Console                    7        980 K
svchost.exe                  28616 Console                    7     10,404 K
svchost.exe                  25596 Console                    7      1,108 K
igfxEM.exe                   11952 Console                    7      3,412 K
svchost.exe                  11548 Console                    7     13,496 K
taskhostw.exe                 6644 Console                    7      7,832 K
explorer.exe                  1520 Console                    7    260,480 K
CrossDeviceResume.exe         8260 Console                    7      5,536 K
svchost.exe                  24916 Console                    7     13,812 K
StartMenuExperienceHost.e    23132 Console                    7     49,700 K
SearchHost.exe               23604 Console                    7     90,048 K
RuntimeBroker.exe             6400 Console                    7     37,176 K
Widgets.exe                  21744 Console                    7     17,020 K
svchost.exe                   3516 Console                    7     15,996 K
msedgewebview2.exe           17956 Console                    7     63,904 K
msedgewebview2.exe            1668 Console                    7      2,708 K
msedgewebview2.exe           24436 Console                    7     24,136 K
msedgewebview2.exe            6360 Console                    7     57,324 K
msedgewebview2.exe           20052 Console                    7      7,496 K
msedgewebview2.exe           23844 Console                    7    108,144 K
ctfmon.exe                   27796 Console                    7     15,964 K
svchost.exe                  28484 Console                    7     11,840 K
svchost.exe                  22460 Console                    7      2,192 K
TextInputHost.exe            17748 Console                    7     27,492 K
WavesSvc64.exe                2428 Console                    7      1,552 K
RtkAudUService64.exe          2576 Console                    7      3,276 K
GoogleDriveFS.exe            21184 Console                    7      1,912 K
crashpad_handler.exe         19652 Console                    7      2,196 K
GoogleDriveFS.exe            12616 Console                    7     31,584 K
conhost.exe                   8152 Console                    7      2,824 K
msedgewebview2.exe            5268 Console                    7     30,020 K
msedgewebview2.exe           11084 Console                    7      2,616 K
msedgewebview2.exe           11164 Console                    7     28,580 K
msedgewebview2.exe           13244 Console                    7      7,728 K
msedgewebview2.exe           25360 Console                    7      4,892 K
msedgewebview2.exe           15404 Console                    7     41,980 K
Zalo.exe                     12412 Console                    7     76,448 K
Zalo.exe                     10856 Console                    7     36,200 K
Zalo.exe                      7996 Console                    7     15,252 K
Zalo.exe                     13476 Console                    7     35,996 K
ZaloCap.exe                  14472 Console                    7      5,408 K
Zalo.exe                     24336 Console                    7     33,720 K
Zalo.exe                      1572 Console                    7      5,376 K
Zalo.exe                     25124 Console                    7      9,764 K
Zalo.exe                      8160 Console                    7    235,904 K
ZaloCall.exe                 20464 Console                    7      3,572 K
mscopilot.exe                14344 Console                    7     39,884 K
mscopilot.exe                13148 Console                    7      2,624 K
mscopilot.exe                20088 Console                    7     17,228 K
mscopilot.exe                  452 Console                    7      7,464 K
mscopilot.exe                 2492 Console                    7      5,200 K
jusched.exe                   7764 Console                    7      2,264 K
WidgetService.exe            12372 Console                    7      3,696 K
msedgewebview2.exe            6956 Console                    7     10,420 K
msedgewebview2.exe           23508 Console                    7      2,664 K
msedgewebview2.exe            9388 Console                    7      4,236 K
msedgewebview2.exe           14624 Console                    7      5,548 K
msedgewebview2.exe           17688 Console                    7      2,360 K
msedgewebview2.exe            9652 Console                    7      3,468 K
SystemSettings.exe            1068 Console                    7         20 K
ApplicationFrameHost.exe     21148 Console                    7      7,252 K
UserOOBEBroker.exe           17788 Console                    7      4,972 K
svchost.exe                  13460 Console                    7      8,448 K
PhoneExperienceHost.exe       7860 Console                    7     23,180 K
jucheck.exe                  28500 Console                    7      2,664 K
taskhostw.exe                28136 Console                    7      8,020 K
backgroundTaskHost.exe        5636 Console                    7         20 K
UniKeyNT.exe                  7156 Console                    7      2,524 K
Video.UI.exe                 22336 Console                    7         20 K
backgroundTaskHost.exe        5984 Console                    7         20 K
RuntimeBroker.exe             8004 Console                    7      1,784 K
OneDrive.exe                 24980 Console                    7     42,328 K
OneDrive.Sync.Service.exe    19084 Console                    7     31,180 K
M365Copilot.exe              20784 Console                    7     21,768 K
RuntimeBroker.exe            14420 Console                    7      1,864 K
msedgewebview2.exe            4276 Console                    7     10,076 K
msedgewebview2.exe            8544 Console                    7      2,584 K
msedgewebview2.exe           17368 Console                    7      5,312 K
msedgewebview2.exe           24432 Console                    7      3,616 K
msedgewebview2.exe           16516 Console                    7      2,480 K
